,Ludwig,77
,Lukas,77
,Lurleen,77
,Lutgarda,77
,Malfreda,77
,Mallory,77
,Mandel,77
,Manheim,77
,Manrique,77
,Marelda,77
,Margaretha,77
,Margret,77
,Marielena,77
,Mario,77
,Markus,77
,Marlena,77
,Matheu,77
,Mathias,77
,Mathilde,77
,Mathis,77
,Matilda,77
,Maximilian,77
,Medardo,77
,Meinhard,77
,Meinrad,77
,Melia,77
,Mena,77
,Merudina,77
,Meta,77
,Michael,77
,Milba,77
,Mildereda,77
,Mileta,77
,Milgita,77
,Milko,77
,Milo,77
,Milva,77
,Mina,77
,Minia,77
,Mirella,77
,Mitzy,77
,Monegunda,77
,Monika,77
,Nantilde,77
,Nardo,77
,Netta,77
,Nikolas,77
,Nitgardo,77
,Nixie,77
,Notburga,77
,Oberto,77
,Oderico,77
,Odette,77
,Odoacro,77
,Olegario,77
,Olric,77
,Olympie,77
,Onofledis,77
,Onofrio,77
,Orlanda,77
,Osmaro,77
,Othman,77
,Otto,77
,Ovidia,77
,Pardulfo,77
,Pastora,77
,Patrick,77
,Paul,77
,Penrod,77
,Pepin,77
,Peter,77
,Pipino,77
,Pippin,77
,Poldi,77
,Porscha,77
,Porsche,77
,Radella,77
,Rae,77
,Raena,77
,Rahel,77
,Raimund,77
,Raina,77
,Rainer,77
,Rainerio,77
,Rainey,77
,Ramona,77
,Randelle,77
,Raquilda,77
,Ratrudis,77
,Raul,77
,Raymonde,77
,Rayner,77
,Reanna,77
,Redmond,77
,Reiner,77
,Renny,77
,Resi,77
,Riberto,77
,Richart,77
,Richelle,77
,Rictruda,77
,Rigoberta,77
,Rigoberto,77
,Rilla,77
,Ritter,77
,Rizieri,77
,Roderica,77
,Rodger,77
,Rodman,77
,Rodrick,77
,Roland,77
,Rolanda,77
,Rolene,77
,Rolf,77
,Rolonda,77
,Romelia,77
,Romualdo,77
,Ronya,77
,Rory,77
,Rosamond,77
,Rosenda,77
,Rosendo,77
,Rosilda,77
,Rotha,77
,Rudee,77
,Rudiger,77
,Rudolf,77
,Rudolph,77
,Rue,77
,Rupert,77
,Ruprecht,77
,Rutilia,77
,Salaberga,77
,Salutiano,77
,Schneider,77
,Schon,77
,Schuman,77
,Segene,77
,Seifert,77
,Selda,77
,Selig,77
,Selma,77
,Sepp,77
,Siegmund,77
,Sig,77
,Sigfredo,77
,Sigmunda,77
,Sigrada,77
,Sigurd,77
,Sigwald,77
,Sina,77
,Steen,77
,Stefan,77
,Stein,77
,Stina,77
,Stoffel,77
,Strom,77
,Tabner,77
,Talat,77
,Tancredo,77
,Teodequilda,77
,Teolinda,77
,Terel,77
,Terrell,77
,Terrelle,77
,Theobald,77
,Theodoric,77
,Thoma,77
,Till,77
,Tillie,77
,Tobias,77
,Tomas,77
,Trudy,77
,Tusnelda,77
,Ulbrecht,77
,Ulf,77
,Ulfer,77
,Ulla,77
,Ullock,77
,Ullric,77
,Ulrica,77
,Ulrich,77
,Ultman,77
,Ulva,77
,Urraca,77
,Uta,77
,Uwe,77
,Valburga,77
,Valda,77
,Valdrada,77
,Valfredo,77
,Valtruda,77
,Vanda,77
,Varick,77
,Varrick,77
,Vedis,77
,Velma,77
,Venidle,77
,Verner,77
,Verrill,77
,Vigberto,77
,Vihelmina,77
,Vilhelm,77
,Vincens,77
,Vogel,77
,Wagner,77
,Walberto,77
,Walda,77
,Waldemar,77
,Wallach,77
,Waller,77
,Walmond,77
,Wanda,77
,Wandie,77
,Warner,77
,Warren,77
,Welby,77
,Wendel,77
,Wendell,77
,Wereburga,77
,Wies,77
,Wilda,77
,Wilfred,77
,Wilhelm,77
,Wilhelmina,77
,Willa,77
,Willeen,77
,Willem,77
,Williams,77
,Willie,77
,Willy,77
,Wilma,77
,Wilmer,77
,Win,77
,Winefrida,77
,Winifred,77
,Wolf,77
,Wolfgang,77
,Wulfilde,77
,Xildas,77
,Yohan,77
,Zamiel,77
,Zedislava,77
,Zola,77
